Kennziffer,Raumeinheit,Aggregat,Bevölkerung gesamt
1001,"Flensburg, Stadt",kreisfreie Stadt,90164
1002,"Kiel, Stadt",kreisfreie Stadt,246794
1003,"Lübeck, Stadt",kreisfreie Stadt,216530
1004,"Neumünster, Stadt",kreisfreie Stadt,80196
1051,Dithmarschen,Landkreis,133193
1053,Herzogtum Lauenburg,Landkreis,198019
1054,Nordfriesland,Landkreis,165951
1055,Ostholstein,Landkreis,200539
1056,Pinneberg,Landkreis,316103
1057,Plön,Landkreis,128686
1058,Rendsburg-Eckernförde,Landkreis,274098
1059,Schleswig-Flensburg,Landkreis,201156
1060,Segeberg,Landkreis,277175
1061,Steinburg,Landkreis,131013
1062,Stormarn,Landkreis,244156
2000,"Hamburg, Stadt",kreisfreie Stadt,1847253
3101,"Braunschweig, Stadt",kreisfreie Stadt,249406
3102,"Salzgitter, Stadt",kreisfreie Stadt,104291
3103,"Wolfsburg, Stadt",kreisfreie Stadt,124371
3151,Gifhorn,Landkreis,176523
3153,Goslar,Landkreis,136292
3154,Helmstedt,Landkreis,91297
3155,Northeim,Landkreis,132285
3157,Peine,Landkreis,134801
3158,Wolfenbüttel,Landkreis,119622
3159,Göttingen,Landkreis,326041
3241,Region Hannover,Landkreis,1157115
3251,Diepholz,Landkreis,217089
3252,Hameln-Pyrmont,Landkreis,148549
3254,Hildesheim,Landkreis,275817
3255,Holzminden,Landkreis,70458
3256,Nienburg (Weser),Landkreis,121390
3257,Schaumburg,Landkreis,157820
3351,Celle,Landkreis,179011
3352,Cuxhaven,Landkreis,198038
3353,Harburg,Landkreis,254431
3354,Lüchow-Dannenberg,Landkreis,48412
3355,Lüneburg,Landkreis,184139
3356,Osterholz,Landkreis,113928
3357,Rotenburg (Wümme),Landkreis,163782
3358,Heidekreis,Landkreis,140673
3359,Stade,Landkreis,204512
3360,Uelzen,Landkreis,92389
3361,Verden,Landkreis,137133
3401,"Delmenhorst, Stadt",kreisfreie Stadt,77559
3402,"Emden, Stadt",kreisfreie Stadt,49913
3403,"Oldenburg (Oldenburg), Stadt",kreisfreie Stadt,169077
3404,"Osnabrück, Stadt",kreisfreie Stadt,165251
3405,"Wilhelmshaven, Stadt",kreisfreie Stadt,76089
3451,Ammerland,Landkreis,124859
3452,Aurich,Landkreis,189694
3453,Cloppenburg,Landkreis,170682
3454,Emsland,Landkreis,326954
3455,Friesland,Landkreis,98704
3456,Grafschaft Bentheim,Landkreis,137162
3457,Leer,Landkreis,170756
3458,Oldenburg,Landkreis,130890
3459,Osnabrück,Landkreis,358080
3460,Vechta,Landkreis,142814
3461,Wesermarsch,Landkreis,88583
3462,Wittmund,Landkreis,56926
4011,"Bremen, Stadt",kreisfreie Stadt,567559
4012,"Bremerhaven, Stadt",kreisfreie Stadt,113643
5111,"Düsseldorf, Stadt",kreisfreie Stadt,621877
5112,"Duisburg, Stadt",kreisfreie Stadt,498686
5113,"Essen, Stadt",kreisfreie Stadt,582760
5114,"Krefeld, Stadt",kreisfreie Stadt,227417
5116,"Mönchengladbach, Stadt",kreisfreie Stadt,261034
5117,"Mülheim an der Ruhr, Stadt",kreisfreie Stadt,170632
5119,"Oberhausen, Stadt",kreisfreie Stadt,210764
5120,"Remscheid, Stadt",kreisfreie Stadt,111338
5122,"Solingen, Stadt",kreisfreie Stadt,159245
5124,"Wuppertal, Stadt",kreisfreie Stadt,355100
5154,Kleve,Landkreis,312465
5158,Mettmann,Landkreis,485570
