Kennziffer,Raumeinheit,Aggregat,Bevölkerung gesamt
6632,Hersfeld-Rotenburg,Landkreis,119394
6633,Kassel,Landkreis,233451
6634,Schwalm-Eder-Kreis,Landkreis,179466
6635,Waldeck-Frankenberg,Landkreis,156460
6636,Werra-Meißner-Kreis,Landkreis,100206
7111,"Koblenz, Stadt",kreisfreie Stadt,111434
7131,Ahrweiler,Landkreis,126643
7132,Altenkirchen (Westerwald),Landkreis,128228
7133,Bad Kreuznach,Landkreis,155944
7134,Birkenfeld,Landkreis,80591
7135,Cochem-Zell,Landkreis,62041
7137,Mayen-Koblenz,Landkreis,210441
7138,Neuwied,Landkreis,179317
7140,Rhein-Hunsrück-Kreis,Landkreis,101945
7141,Rhein-Lahn-Kreis,Landkreis,121487
7143,Westerwaldkreis,Landkreis,199131
7211,"Trier, Stadt",kreisfreie Stadt,108472
7231,Bernkastel-Wittlich,Landkreis,110981
7232,Eifelkreis Bitburg-Prüm,Landkreis,96408
7233,Vulkaneifel,Landkreis,60775
7235,Trier-Saarburg,Landkreis,145227
7311,"Frankenthal (Pfalz), Stadt",kreisfreie Stadt,47724
7312,"Kaiserslautern, Stadt",kreisfreie Stadt,97382
7313,"Landau in der Pfalz, Stadt",kreisfreie Stadt,44465
7314,"Ludwigshafen am Rhein, Stadt",kreisfreie Stadt,163832
7315,"Mainz, Stadt",kreisfreie Stadt,206991
7316,"Neustadt an der Weinstraße, Stadt",kreisfreie Stadt,52564
7317,"Pirmasens, Stadt",kreisfreie Stadt,40046
7318,"Speyer, Stadt",kreisfreie Stadt,49855
7319,"Worms, Stadt",kreisfreie Stadt,81010
7320,"Zweibrücken, Stadt",kreisfreie Stadt,34011
7331,Alzey-Worms,Landkreis,125998
7332,Bad Dürkheim,Landkreis,131530
7333,Donnersbergkreis,Landkreis,74962
7334,Germersheim,Landkreis,126266
7335,Kaiserslautern,Landkreis,104288
7336,Kusel,Landkreis,70883
7337,Südliche Weinstraße,Landkreis,109735
7338,Rhein-Pfalz-Kreis,Landkreis,150051
7339,Mainz-Bingen,Landkreis,204514
7340,Südwestpfalz,Landkreis,96410
8111,"Stuttgart, Stadt",kreisfreie Stadt,612441
8115,Böblingen,Landkreis,374279
8116,Esslingen,Landkreis,516779
8117,Göppingen,Landkreis,250117
8118,Ludwigsburg,Landkreis,526377
8119,Rems-Murr-Kreis,Landkreis,414016
8121,"Heilbronn, Stadt",kreisfreie Stadt,119841
8125,Heilbronn,Landkreis,329250
8126,Hohenlohekreis,Landkreis,108816
8127,Schwäbisch Hall,Landkreis,188974
8128,Main-Tauber-Kreis,Landkreis,130299
8135,Heidenheim,Landkreis,128894
8136,Ostalbkreis,Landkreis,308205
8211,"Baden-Baden, Stadt",kreisfreie Stadt,53342
8212,"Karlsruhe, Stadt",kreisfreie Stadt,300051
8215,Karlsruhe,Landkreis,431315
